"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.159602417E0,-9.049367291E0,-4.303515637E-1,-4.776393708E0,1.024159107E1
2.169611417E0,-3.869608381E0,-2.777579463E0,1.841440529E0,5.106830712E0
2.179619417E0,-1.951602218E0,-3.817654116E0,8.846422130E0,9.830687599E0
2.189628417E0,3.800660938E-2,-5.543670900E0,1.088411013E1,1.221464632E1
2.199636417E0,2.004406084E0,-7.934509088E0,1.094214023E1,1.366398592E1
2.209645417E0,3.261413754E0,-9.425553172E0,9.202680116E0,1.357082140E1
2.219653417E0,4.428282940E0,-9.596307072E0,7.740586181E0,1.310020892E1
2.229662417E0,5.107029487E0,-8.496080942E0,6.553208470E0,1.188316805E1
2.239670417E0,4.878384059E0,-6.312168700E0,5.448124473E0,9.660443312E0
2.249679417E0,4.099938392E0,-3.852369620E0,4.724924469E0,7.346778733E0
2.259687417E0,3.259640878E0,-1.482703031E0,4.216049769E0,5.531613019E0
2.269696417E0,2.396705868E0,5.210430479E-1,3.894042141E0,4.602091815E0
2.279704417E0,1.699519249E0,2.074303261E0,3.600567757E0,4.489452959E0
2.289713417E0,1.059316963E0,3.234386169E0,3.059855260E0,4.576693187E0
2.299721417E0,1.084082553E-1,4.368345471E0,3.042485521E0,5.324557507E0
2.309730417E0,-8.493109971E-1,5.262137992E0,2.877674439E0,6.057428133E0
2.319738417E0,-1.079537804E0,4.506045645E0,1.820803074E0,4.978470956E0
2.329747417E0,-1.163437455E0,3.236606357E0,6.441047180E-1,3.499153942E0
2.339755417E0,-1.367229293E0,2.282799768E0,-7.174744105E-1,2.755949973E0
2.349764417E0,-1.561692190E0,1.021374089E0,-4.216724830E0,4.611166427E0
2.359772417E0,-1.520309106E0,-5.704350632E-1,-8.794766657E0,8.943414141E0
2.369781417E0,-7.589530966E-1,-1.944886252E0,-1.047870395E1,1.068465390E1
2.379789417E0,7.776904991E-1,-2.556086349E0,-9.191220158E0,9.571672159E0
2.389798417E0,2.072598798E0,-2.036455404E0,-6.555164364E0,7.170285645E0
2.399806417E0,2.644691254E0,-9.043917686E-1,-3.991545632E0,4.872858795E0
2.409815417E0,2.734407130E0,-3.940380156E-1,-2.366208546E0,3.637470439E0
2.419823417E0,2.481291105E0,-1.801801962E-1,-1.493242053E0,2.901558595E0
2.429832417E0,2.200333270E0,3.265699178E-1,-7.765254414E-1,2.356078558E0
2.439840417E0,1.980001998E0,1.067091714E0,-4.049506376E-1,2.285405359E0
2.449849417E0,1.721122080E0,1.832661227E0,-1.633337101E-1,2.519441662E0
2.459857417E0,1.574675348E0,2.336553807E0,6.172094263E-2,2.818314322E0
2.469866417E0,1.834614197E0,2.200362799E0,-3.552032212E-1,2.886793208E0
2.479874417E0,2.487842326E0,1.433656586E0,-1.377194703E0,3.184555839E0
2.489883417E0,2.926615342E0,6.348123229E-1,-2.820469959E0,4.113771364E0
2.499891417E0,2.990007638E0,-1.364675814E-1,-4.559880375E0,5.454473220E0
2.509900417E0,2.915870206E0,-8.195849222E-1,-6.673722509E0,7.328887407E0
2.519908417E0,3.137982540E0,-1.277651703E0,-8.935379330E0,9.556167227E0
2.529917417E0,3.811223348E0,-1.246996506E0,-1.040419639E1,1.115023436E1
2.539925417E0,4.667479668E0,-5.489863068E-1,-9.939589502E0,1.099464378E1
2.549934417E0,5.187763163E0,7.091269255E-2,-8.181065707E0,9.687504908E0
2.559942417E0,5.331932112E0,1.421107292E-1,-5.638861817E0,7.761859191E0
2.569950417E0,4.850991316E0,1.384041792E-1,-3.141676810E0,5.781124946E0
