"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.955073819E0,5.623088837E0,-5.124835968E0,1.492179871E0,7.753042792E0
3.974195590E0,6.400056362E0,-3.105765343E0,-2.456613064E0,7.526051259E0
3.993344027E0,4.854416370E0,-9.173192978E-1,-4.055355549E0,6.391614946E0
4.012479235E0,5.013346076E-1,1.748466492E-1,-4.745837212E0,4.775445380E0
4.031601006E0,-1.794366598E0,-9.098472595E-1,-7.455570698E0,7.722247597E0
4.050749444E0,-2.710254669E0,-2.767421722E0,-8.013267517E0,8.900368513E0
4.069884548E0,-3.395518780E0,-8.535104752E0,-3.934315205E0,9.992817272E0
4.089006319E0,-3.570260286E0,-1.127462864E1,-6.826407909E-1,1.184609674E1
4.108154860E0,-2.996867180E0,-7.284017563E0,-2.272003651E0,8.197568258E0
4.127276631E0,-5.845844746E-1,-2.585298538E0,-1.878542900E0,3.248758373E0
4.146425069E0,2.914093256E0,8.127498627E-2,-4.064196587E0,5.001623639E0
4.165560173E0,3.674078941E0,4.472506046E0,-1.250301361E0,5.921606192E0
4.184681944E0,3.279200315E0,8.260155678E0,1.095656514E0,8.954540174E0
4.203830485E0,2.478701830E0,9.892311096E0,2.347447395E0,1.046481203E1
4.222965590E0,1.414751530E0,9.146712303E0,1.220462203E0,9.335598312E0
4.242100694E0,1.636642218E-1,9.378724098E0,5.281953812E-1,9.395011551E0
4.261235798E0,-2.842656076E-1,9.516336441E0,-5.488364697E-1,9.536387558E0
4.280357673E0,-2.095876485E-1,7.623652935E0,-2.720050812E-1,7.631382432E0
4.299506110E0,5.045896769E-2,5.192052364E0,1.265345454E0,5.344254202E0
4.318641215E0,1.721246958E0,7.394561768E-1,2.947300434E0,3.492286697E0
4.337762985E0,3.751074553E0,-6.510327339E0,3.406983852E0,8.249997657E0
4.356911423E0,3.219630241E0,-1.354133797E1,9.654533863E-1,1.395227412E1
4.376046631E0,-3.989365399E-1,-9.879649162E0,1.622426271E0,1.001992440E1
4.395168402E0,-1.423543215E0,-2.261899948E0,3.922705889E0,4.746608068E0
4.414316840E0,3.257903457E-1,-1.788992882E0,1.080428004E0,2.115173646E0
4.433451944E0,2.906242609E-1,-1.233403015E1,-3.439782143E0,1.280799998E1
4.452573715E0,-3.389892578E0,-1.081387138E1,-7.253166199E0,1.345509591E1
4.471722256E0,-4.799530029E0,2.159976959E0,-5.307258129E0,7.474488465E0
4.490857360E0,-4.855379105E0,3.213428020E0,-2.303412914E0,6.261512353E0
4.509979131E0,-4.817166328E0,-1.714326859E0,7.888592482E-1,5.173616426E0
4.529127569E0,-3.689233541E0,-5.917295456E0,1.312924981E0,7.095674855E0
4.548262673E0,-3.490699530E0,-3.643698692E0,1.604866982E-2,5.045966798E0
4.567384548E0,-2.478862047E0,2.161693573E-1,-6.949679255E-1,2.583498918E0
4.586532985E0,-1.200227737E0,2.990890026E0,2.123255432E-1,3.229713905E0
4.605668090E0,-9.610509872E-1,4.580564976E0,1.873248458E0,5.041255229E0
4.624803194E0,-4.333997369E-1,5.720635414E0,2.011543512E0,6.079458214E0
4.643938298E0,-5.031914115E-1,6.658262730E0,9.725967646E-1,6.747711363E0
4.663073506E0,-4.164910316E-1,7.633841515E0,6.765453815E-1,7.675070990E0
4.682208610E0,2.186770439E-1,7.620425224E0,4.753083885E-1,7.638364898E0
4.701343715E0,4.474100471E-1,6.478113174E0,4.431790411E-1,6.508650683E0
4.720478819E0,2.371639013E-1,5.077173233E0,1.121691704E0,5.205009801E0
4.739600694E0,1.979399920E-1,3.473111153E0,9.336489439E-1,3.601858086E0
4.758749131E0,-2.898567915E-1,1.510910988E0,1.928084970E0,2.466653730E0
4.777884235E0,-2.673888206E-1,-3.255939484E-2,2.763773918E0,2.776869310E0
