"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.829576583E0,1.885444189E0,-1.455557333E0,4.650384456E0,5.224904069E0
1.839582583E0,-1.487198371E-1,5.483086145E-1,4.682068179E0,4.716409902E0
1.849589583E0,-1.212944515E0,2.333099856E0,4.567041753E0,5.269958226E0
1.859596583E0,-1.634463713E0,2.724179766E0,5.006193084E0,5.929131152E0
1.869602583E0,-3.006680681E0,2.953467802E0,4.939925419E0,6.493532469E0
1.879609583E0,-2.914144108E0,3.489495510E0,4.430768299E0,6.348269253E0
1.889615583E0,-2.360836855E0,3.130952432E0,4.230391527E0,5.768242909E0
1.899622583E0,-2.184220829E0,2.789842828E0,3.876181237E0,5.251554495E0
1.909629583E0,-1.856150808E0,2.698742039E0,3.520997092E0,4.808942184E0
1.919635583E0,-1.600720016E0,2.810352522E0,3.374299514E0,4.674000757E0
1.929642583E0,-1.748062834E0,3.081869735E0,3.302081138E0,4.843282418E0
1.939649583E0,-2.271548848E0,3.709719778E0,3.471379374E0,5.565287931E0
1.949655583E0,-2.736940144E0,4.521829035E0,3.865296060E0,6.548151862E0
1.959662583E0,-3.152388325E0,5.361665788E0,4.239179308E0,7.526994977E0
1.969669583E0,-3.676868951E0,5.990146746E0,4.508427509E0,8.350277955E0
1.979675583E0,-3.972349808E0,6.367679241E0,4.524336905E0,8.763362731E0
1.989682583E0,-3.919505011E0,6.379685329E0,4.307429763E0,8.638104861E0
1.999689583E0,-3.474838294E0,5.971560786E0,3.980724190E0,7.973719613E0
2.009695583E0,-2.376534728E0,5.275432806E0,3.361937331E0,6.691840645E0
2.019702583E0,-1.111099320E0,5.012042638E0,2.852164791E0,5.872815092E0
2.029709583E0,-3.003711757E-1,4.914967164E0,2.000871880E0,5.315130605E0
2.039715583E0,5.967697531E-2,4.707498012E0,5.353014833E-1,4.738211324E0
2.049722583E0,-2.089135601E-1,4.408473158E0,-1.542831996E0,4.675319350E0
2.059729583E0,-4.286620107E-1,3.592416446E0,-4.433294881E0,5.722177080E0
2.069735583E0,1.675167350E-1,1.710654395E0,-7.669830194E0,7.860069689E0
2.079742583E0,1.341086977E0,-1.244596809E0,-9.648039143E0,9.819989552E0
2.089749583E0,1.871923526E0,-4.023234617E0,-8.398669252E0,9.498850440E0
2.099755583E0,1.555052092E0,-5.921128551E0,-6.049738644E0,8.606816368E0
2.109762583E0,1.134389804E0,-6.881153653E0,-4.993857797E0,8.577629715E0
2.119768583E0,1.429994037E0,-6.476895289E0,-4.353799353E0,7.934142949E0
2.129775583E0,1.618459737E0,-4.968821774E0,-2.870224794E0,5.962113058E0
2.139782583E0,1.217337382E0,-3.260863531E0,-2.031861539E0,4.030335293E0
2.149788583E0,4.481588204E-1,-1.539613981E0,-1.952436177E0,2.526512332E0
2.159795583E0,-5.152119852E-1,2.866778737E-1,-1.924898423E0,2.013172007E0
2.169802583E0,-1.666808171E0,2.461442147E0,-1.917224829E0,3.537329214E0
2.179808583E0,-3.454561320E0,4.599223951E0,-1.055004934E0,5.848067225E0
2.189815583E0,-5.843907883E0,5.459145890E0,1.241302487E-1,7.998058609E0
2.199822583E0,-7.416656281E0,3.857160244E0,1.040453553E-1,8.360340960E0
2.209828583E0,-7.306480705E0,1.085105816E0,3.660617200E-1,7.395682261E0
2.219835583E0,-7.955244484E0,-2.172202608E0,3.313959172E-1,8.253132873E0
2.229842583E0,-9.246971605E0,-7.580620394E0,-2.715554830E0,1.226158748E1
2.239848583E0,-8.006833883E0,-1.454422505E1,-4.146057721E0,1.711238340E1
2.249855583E0,-4.594210840E0,-1.922072522E1,-3.369837796E0,2.004741524E1
2.259862583E0,1.271127819E0,-1.653766132E1,-1.429516465E0,1.664792855E1
2.269868583E0,5.508761269E0,-6.993028430E0,4.168234748E0,9.829703874E0
2.279875583E0,4.639258082E0,1.362680744E0,1.221513989E1,1.313732305E1
2.289882583E0,1.488710607E0,6.709769424E0,1.363186996E1,1.526647122E1
2.299888583E0,-2.765784459E0,9.247743437E0,1.028753275E1,1.410686543E1
