"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.342028295E0,3.333728790E0,8.048937798E0,3.232149839E0,9.292251606E0
2.361165170E0,1.052845669E1,4.290798950E1,6.802113533E0,4.470137259E1
2.380288608E0,-3.304673672E0,5.428102112E1,1.124565125E1,5.553210597E1
2.399438712E0,-2.210661173E0,2.142094040E1,6.238511086E0,2.242014119E1
2.418575483E0,-2.534416914E-1,2.185720444E1,2.788201809E0,2.203578199E1
2.437698920E0,3.510019779E0,1.773672104E1,1.697217226E-1,1.808149102E1
2.456849024E0,3.414730787E0,1.031563854E1,5.712080002E-1,1.088113337E1
2.475985795E0,2.380779505E0,3.266264915E0,2.155865669E0,4.580868295E0
2.495109233E0,9.822757244E-1,-3.602902412E0,2.608022928E0,4.554948407E0
2.514259337E0,5.987141132E-1,-9.905613899E0,8.905750513E-2,9.924090716E0
2.533396108E0,1.651868820E-1,-1.498209190E1,-2.250722170E0,1.515110936E1
2.552519649E0,-2.158673286E0,-1.834589767E1,-3.054112196E0,1.872323244E1
2.571669754E0,-4.669413567E0,-1.927720261E1,-2.115441084E0,1.994715655E1
2.590806524E0,-4.839848518E0,-1.532123947E1,9.003226757E-1,1.609270311E1
2.609929962E0,-4.894298077E0,-8.075780869E0,3.397612095E0,1.003574403E1
2.629080066E0,-4.914601803E0,-5.319761753E0,2.423503876E0,7.637181877E0
2.648216941E0,-3.138295174E0,-3.588526249E0,-4.622769356E-1,4.789584241E0
2.667340379E0,8.946657181E-3,-3.393822670E0,-2.671330690E0,4.319041562E0
2.686490483E0,1.843478680E-1,-5.180390835E0,-2.515080929E0,5.761602678E0
2.705613920E0,-1.194722176E0,-9.278798103E0,-7.337814569E-1,9.384129717E0
2.724764129E0,-2.437927961E0,-1.277374268E1,8.304053545E-2,1.300457190E1
2.743900899E0,-3.392405748E0,-1.372927094E1,1.274548054E0,1.419949893E1
2.763024337E0,-4.079105377E0,-1.494698715E1,2.572582483E0,1.570572209E1
2.782174545E0,-3.836529732E0,-1.606360817E1,2.820199728E0,1.675446192E1
2.801297983E0,-1.821251869E0,-9.997206688E0,2.187875032E0,1.039460904E1
2.820448087E0,2.353737354E-1,-4.521236420E-1,6.031372547E-1,7.896778653E-1
2.839584962E0,3.960885048E0,1.854380798E1,7.381327629E0,2.034810611E1
2.858708399E0,-2.169694901E-1,6.399291229E1,7.442710400E0,6.442463688E1
2.877858608E0,-5.505421758E-1,2.744189262E1,9.044557571E0,2.889921433E1
2.896995379E0,-3.622854352E-1,2.015097809E1,4.318337440E0,2.061167647E1
2.916118816E0,-3.468945622E-1,2.476052094E1,2.558367252E0,2.489475800E1
2.935269024E0,9.886873960E-1,1.757972717E1,3.779677153E-1,1.761156353E1
2.954405795E0,3.025424957E0,9.063800812E0,1.171550870E0,9.626952413E0
2.973529337E0,3.770456791E0,2.544985771E0,2.539808750E-1,4.556073230E0
2.992679441E0,2.922381639E0,-2.548476219E0,-7.941323519E-1,3.957990864E0
3.011816316E0,1.808113933E0,-7.073200226E0,-9.534758329E-1,7.362645828E0
3.030939754E0,3.140103817E-1,-1.180844593E1,-1.485397339E0,1.190564585E1
3.050089962E0,-1.968916297E0,-1.678257942E1,-1.980801582E0,1.701338233E1
3.069226733E0,-3.637332916E0,-1.958335876E1,-2.123486996E0,2.003115893E1
3.088350274E0,-3.959236383E0,-1.743618011E1,1.020368338E-1,1.788033392E1
3.107500379E0,-3.886572361E0,-9.897454262E0,2.025043249E0,1.082431733E1
3.126637254E0,-3.613482952E0,-6.282857418E0,1.484766006E0,7.398384045E0
3.145760691E0,-1.999404073E0,-5.094247818E0,-3.582310379E-1,5.484278162E0
3.164910899E0,-1.891438961E-1,-4.400913715E0,-1.756119013E0,4.742127258E0
3.184047774E0,9.958362579E-2,-6.014461994E0,-1.436147451E0,6.184350368E0
3.203171212E0,-1.181466341E0,-9.190034866E0,-2.111325860E-1,9.268073183E0
3.222321420E0,-2.232110977E0,-1.254518318E1,5.313941836E-1,1.275328665E1
3.241458191E0,-2.644378424E0,-1.301242065E1,5.784322619E-1,1.329098990E1
3.260595066E0,-2.375585556E0,-1.359267807E1,-3.478750587E-1,1.380309099E1
3.279731941E0,-2.257699251E0,-1.446201992E1,1.298382521E0,1.469465968E1
3.298855379E0,-1.673811078E0,-1.375169754E1,3.034198284E0,1.418157918E1
3.318005587E0,-1.151736975E0,-6.020338058E0,1.812478304E0,6.391873434E0
3.337142462E0,1.700927734E0,5.755625725E0,-1.572058201E-1,6.003756850E0
3.356265899E0,5.276487350E0,4.072800446E1,6.140964031E0,4.152496966E1
3.375416108E0,-1.669716001E0,5.407649231E1,1.114445114E1,5.523815496E1
3.394552879E0,9.911526442E-1,1.853530502E1,9.760536194E0,2.097159943E1
3.413676420E0,-3.888498783E0,2.491293716E1,8.204029083E0,2.651567374E1
3.432826629E0,-4.921578407E0,2.446266747E1,2.087393761E0,2.503999294E1
3.451963399E0,-1.985346198E0,1.528776741E1,7.090067863E-2,1.541630497E1
3.471086941E0,-5.384564400E-3,7.760530472E0,8.535102606E-1,7.807326172E0
